Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
168,Chile verde,Chile verde jalapeño,Tonelada,Cielo abierto,Convencional,Exportación,450.66,450.66,0,"15,665.38",34.76,"9,326.37","146,101.17"
169,Chile verde,Chile verde poblano,Tonelada,Cielo abierto,Convencional,Exportación,82,82,0,"3,334.54",40.67,"6,552.26","21,848.79"
170,Chile verde,Chile verde banana,Tonelada,Cielo abierto,Convencional,Nacional,5,5,0,140,28,"6,341.07",887.75
171,Chile verde,Chile seco colorado,Tonelada,Cielo abierto,Convencional,Nacional,"9,172.00","9,172.00",0,"20,499.62",2.24,"60,942.85","1,249,305.30"
172,Chile verde,Chile verde puya,Tonelada,Cielo abierto,Convencional,Nacional,22,22,0,476.45,21.66,"6,254.94","2,980.17"
173,Chile verde,Chile verde jalapeño,Tonelada,Cielo abierto,Convencional,Nacional,"26,694.33","26,316.33",378,"755,587.02",28.71,"8,347.50","6,307,261.71"
174,Chile verde,Chile seco de árbol (cola de rata),Tonelada,Cielo abierto,Convencional,Nacional,"2,866.26","2,866.26",0,"5,274.37",1.84,"78,489.44","413,982.33"
175,Chile verde,Chile verde anaheim,Tonelada,Cielo abierto,Convencional,Nacional,"1,577.09","1,577.09",0,"56,418.76",35.77,"10,802.47","609,462.09"
176,Chile verde,Chile verde paprika,Tonelada,Cielo abierto,Convencional,Nacional,"2,270.00","2,270.00",0,"46,754.80",20.6,"10,754.51","502,825.00"
177,Chile verde,Chile verde mirasol,Tonelada,Cielo abierto,Convencional,Nacional,538.25,538.25,0,"4,653.40",8.65,"7,732.44","35,982.13"
178,Chile verde,Chile seco mulato,Tonelada,Cielo abierto,Convencional,Nacional,122.04,122.04,0,140.19,1.15,"72,000.00","10,093.68"
179,Chile verde,Chile verde chilaca,Tonelada,Cielo abierto,Convencional,Nacional,"3,782.07","3,782.07",0,"86,485.53",22.87,"10,144.32","877,336.77"
180,Chile verde,Chile verde chiltepín,Tonelada,Cielo abierto,Convencional,Nacional,27,27,0,18.9,0.7,"1,200,000.00","22,680.00"
181,Chile verde,Chile verde piquín,Tonelada,Cielo abierto,Convencional,Nacional,"1,236.00","1,236.00",0,"1,399.13",1.13,"86,340.79","120,801.98"
182,Chile verde,Chile seco tabaquero,Tonelada,Cielo abierto,Convencional,Nacional,324.85,324.85,0,185.52,0.57,"149,883.63","27,806.41"
183,Chile verde,Chile verde de agua,Tonelada,Cielo abierto,Convencional,Nacional,260.15,260.15,0,"2,071.88",7.96,"20,972.13","43,451.74"
184,Chile verde,Chile verde serrano,Tonelada,Cielo abierto,Convencional,Nacional,"12,479.46","12,447.86",31.6,"328,740.36",26.41,"11,464.98","3,769,001.49"
185,Chile verde,Chile verde habanero,Tonelada,Cielo abierto,Convencional,Nacional,"1,437.23","1,430.23",7,"25,819.78",18.05,"19,916.97","514,251.75"
186,Chile verde,Chile seco puya,Tonelada,Cielo abierto,Convencional,Nacional,"10,191.01","10,173.51",17.5,"21,424.89",2.11,"69,653.98","1,492,328.77"
187,Chile verde,Chile verde guajillo,Tonelada,Cielo abierto,Convencional,Nacional,229,229,0,"3,662.74",15.99,"7,649.91","28,019.62"
188,Chile verde,Chile seco costeño,Tonelada,Cielo abierto,Convencional,Nacional,"2,647.00","2,647.00",0,"1,513.66",0.57,"86,973.23","131,647.89"
189,Chile verde,Chile verde hungaro (x-cat-ik),Tonelada,Cielo abierto,Convencional,Nacional,447.5,447.5,0,"11,844.81",26.47,"12,998.68","153,966.84"
190,Chile verde,Chile verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,114.85,114.85,0,"2,697.40",23.49,"10,497.16","28,315.05"
191,Chile verde,Chile verde cayene,Tonelada,Cielo abierto,Convencional,Nacional,"2,900.00","2,900.00",0,"52,127.80",17.98,"12,447.74","648,873.38"
192,Chile verde,Chile verde manzano,Tonelada,Cielo abierto,Convencional,Nacional,271.1,271.1,0,"6,317.05",23.3,"8,664.36","54,733.19"
193,Chile verde,Chile seco guajillo,Tonelada,Cielo abierto,Convencional,Nacional,"9,660.18","9,660.18",0,"21,196.58",2.19,"77,702.77","1,647,032.94"
194,Chile verde,Chile verde caloro,Tonelada,Cielo abierto,Convencional,Nacional,"2,687.50","2,687.50",0,"70,468.90",26.22,"8,859.79","624,339.83"
195,Chile verde,Chile verde costeño,Tonelada,Cielo abierto,Convencional,Nacional,19.7,19.7,0,142.96,7.26,"6,603.27",944
196,Chile verde,Chile verde perón,Tonelada,Cielo abierto,Convencional,Nacional,156,156,0,"1,679.87",10.77,"9,315.64","15,649.06"
197,Chile verde,Chile seco pasilla,Tonelada,Cielo abierto,Convencional,Nacional,"5,262.79","5,262.79",0,"10,326.65",1.96,"80,723.51","833,603.41"
198,Chile verde,Chile verde cristal,Tonelada,Cielo abierto,Convencional,Nacional,4,4,0,120.52,30.13,"11,186.57","1,348.21"
199,Chile verde,Chile verde regional,Tonelada,Cielo abierto,Convencional,Nacional,729.4,729.4,0,"6,167.81",8.46,"12,927.37","79,733.55"
200,Chile verde,Chile verde morrón (bell pepper),Tonelada,Cielo abierto,Convencional,Nacional,"1,595.95","1,594.45",1.5,"75,433.34",47.31,"13,064.63","985,508.33"
201,Chile verde,Chile verde poblano,Tonelada,Cielo abierto,Convencional,Nacional,"14,402.09","14,352.09",50,"339,992.60",23.69,"10,672.03","3,628,412.71"
202,Chile verde,Chile seco mirasol,Tonelada,Cielo abierto,Convencional,Nacional,"18,793.00","18,793.00",0,"40,304.68",2.14,"76,486.19","3,082,751.57"
203,Chile verde,Chile verde de árbol (cola de rata),Tonelada,Cielo abierto,Convencional,Nacional,936.6,936.6,0,"12,046.13",12.86,"12,792.07","154,094.99"
204,Chile verde,Chile seco ancho,Tonelada,Cielo abierto,Convencional,Nacional,"14,786.78","14,781.78",5,"31,143.66",2.11,"85,775.16","2,671,352.52"
205,Chile verde,Chile verde soledad,Tonelada,Cielo abierto,Convencional,Nacional,"1,686.16","1,686.16",0,"15,312.43",9.08,"9,955.20","152,438.28"
206,Chile verde,Chile verde jalapeño,Tonelada,Cielo abierto,Orgánico,Nacional,11.25,11.25,0,208.13,18.5,"11,532.23","2,400.20"
207,Chile verde,Chile verde,Tonelada,Cielo abierto,Orgánico,Nacional,25,25,0,"1,026.75",41.07,"15,057.79","15,460.59"
208,Chile verde,Chile verde morrón (bell pepper),Tonelada,Cielo abierto,Orgánico,Nacional,45.5,45.5,0,"1,776.90",39.05,"19,081.38","33,905.70"
209,Chile verde,Chile verde serrano,Tonelada,Cielo abierto,Orgánico,Nacional,5.6,5.6,0,81.65,14.58,"10,537.50",860.39
210,Chile verde,Chile verde morrón (bell pepper),Tonelada,Invernadero,Convencional,Exportación,576.52,576.52,0,"53,474.08",92.75,"19,066.16","1,019,545.36"
211,Chile verde,Chile verde hungaro (x-cat-ik),Tonelada,Invernadero,Convencional,Nacional,1.5,1.5,0,25.5,17,"29,000.00",739.5
212,Chile verde,Chile verde habanero,Tonelada,Invernadero,Convencional,Nacional,19.83,19.83,0,602.17,30.37,"24,809.50","14,939.54"
213,Chile verde,Chile verde manzano,Tonelada,Invernadero,Convencional,Nacional,46.72,46.72,0,"2,571.38",55.04,"11,127.55","28,613.16"
214,Chile verde,Chile verde serrano,Tonelada,Invernadero,Convencional,Nacional,11,11,0,471.7,42.88,"8,548.99","4,032.56"
215,Chile verde,Chile verde morrón (bell pepper),Tonelada,Invernadero,Convencional,Nacional,"1,286.64","1,286.64",0,"158,089.46",122.87,"20,364.83","3,219,464.60"
216,Chile verde,Chile verde,Tonelada,Invernadero,Convencional,Nacional,15.5,15.5,0,"1,717.40",110.8,"9,800.00","16,830.52"
217,Chile verde,Chile verde jalapeño,Tonelada,Invernadero,Convencional,Nacional,110,110,0,"10,104.00",91.85,"8,911.42","90,040.95"
218,Chile verde,Chile verde poblano,Tonelada,Invernadero,Convencional,Nacional,210.5,210.5,0,"15,894.16",75.51,"7,683.94","122,129.80"
219,Chile verde,Chile verde morrón (bell pepper),Tonelada,Macro túnel,Convencional,Nacional,8,8,0,398,49.75,"16,562.50","6,591.88"
220,Chile verde,Chile verde poblano,Tonelada,Macro túnel,Convencional,Nacional,4,4,0,158,39.5,"9,928.64","1,568.73"
221,Chile verde,Chile verde hungaro (x-cat-ik),Tonelada,Macro túnel,Convencional,Nacional,3,3,0,90,30,"10,950.00",985.5
222,Chile verde,Chile verde jalapeño,Tonelada,Macro túnel,Convencional,Nacional,4,4,0,152,38,"7,950.00","1,208.40"
223,Chile verde,Chile verde morrón (bell pepper),Tonelada,Malla sombra,Convencional,Exportación,"1,322.59","1,322.59",0,"114,577.38",86.63,"15,680.97","1,796,684.12"
224,Chile verde,Chile verde chilaca,Tonelada,Malla sombra,Convencional,Nacional,10,10,0,927,92.7,"10,423.95","9,663.00"
225,Chile verde,Chile verde habanero,Tonelada,Malla sombra,Convencional,Nacional,34.3,34.3,0,"1,105.74",32.24,"20,834.72","23,037.79"
226,Chile verde,Chile verde anaheim,Tonelada,Malla sombra,Convencional,Nacional,42,42,0,"3,000.00",71.43,"11,606.59","34,819.76"
227,Chile verde,Chile verde serrano,Tonelada,Malla sombra,Convencional,Nacional,359,359,0,"18,456.19",51.41,"9,200.00","169,796.95"
228,Chile verde,Chile verde morrón (bell pepper),Tonelada,Malla sombra,Convencional,Nacional,"1,502.65","1,502.65",0,"111,712.81",74.34,"14,582.96","1,629,103.66"
229,Chile verde,Chile verde caloro,Tonelada,Malla sombra,Convencional,Nacional,5,5,0,463.5,92.7,"12,815.53","5,940.00"
230,Chile verde,Chile verde hungaro (x-cat-ik),Tonelada,Malla sombra,Convencional,Nacional,16.5,16.5,0,918.2,55.65,"15,062.88","13,830.74"
231,Chile verde,Chile verde jalapeño,Tonelada,Malla sombra,Convencional,Nacional,24,24,0,"1,616.00",67.33,"10,579.89","17,097.10"
232,Chile verde,Chile verde poblano,Tonelada,Malla sombra,Convencional,Nacional,74,74,0,"6,411.58",86.64,"12,204.44","78,249.74"
233,Chile verde,Chile verde morrón (bell pepper),Tonelada,Malla sombra,Orgánico,Exportación,20.3,20.3,0,928.84,45.76,"17,879.59","16,607.28"
234,Chirimoya,Chirimoya s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,52,52,0,549.82,10.57,"9,949.46","5,470.41"
235,Chives,Chives,Tonelada,Cielo abierto,Orgánico,Nacional,4.5,4.5,0,22.84,5.08,"12,863.29",293.8
236,Cilantro,Cilantro,Tonelada,Cielo abierto,Convencional,Exportación,304,304,0,"5,999.50",19.74,"9,935.77","59,609.63"
237,Cilantro,Cilantro s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"7,114.25","7,114.25",0,"101,521.41",14.27,"6,492.02","659,078.78"
238,Cilantro,Cilantro,Tonelada,Cielo abierto,Orgánico,Nacional,4,4,0,42.02,10.51,"17,365.38",729.69
239,Cineraria,Cineraria,Planta,Invernadero,Convencional,Nacional,11.6,11.6,0,"2,025,466.14","174,609.15",16.06,"32,522.15"
240,Ciruela,Ciruela del país,Tonelada,Cielo abierto,Convencional,Nacional,"8,226.43","8,097.18",0,"46,329.38",5.72,"6,935.80","321,331.43"
241,Ciruela,Ciruela de almendra,Tonelada,Cielo abierto,Convencional,Nacional,"2,228.50","2,228.50",0,"12,089.52",5.42,"5,664.22","68,477.67"
242,Ciruela,Ciruela española,Tonelada,Cielo abierto,Convencional,Nacional,652,584.35,0,"3,207.41",5.49,"6,084.14","19,514.33"
243,Clavel,Clavel s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,32,32,0,"213,990.00","6,687.19",183.98,"39,369.70"
244,Clavel,Clavel,Gruesa,Invernadero,Convencional,Nacional,12,12,0,"89,328.27","7,444.02",115.2,"10,290.28"
245,Clavel,Clavel,Gruesa,Macro túnel,Convencional,Nacional,509,509,0,"3,798,331.11","7,462.34",225.83,"857,780.53"
246,Clavel,Clavel s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,1,1,0,"5,356.00","5,356.00",53.4,286
247,Clyptoria,Clyptoria s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,9,9,0,81.99,9.11,"1,000.00",81.99
248,Coco fruta,Coco fruta s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"13,862.25","12,859.50",0,"210,175.07",16.34,"5,265.30","1,106,634.44"
249,Col (repollo),Col (repollo) blanca,Tonelada,Cielo abierto,Convencional,Exportación,195,195,0,"8,000.85",41.03,"4,382.75","35,065.73"
250,Col (repollo),Col (repollo) blanca,Tonelada,Cielo abierto,Convencional,Nacional,"5,284.17","5,283.17",1,"179,842.91",34.04,"4,541.57","816,769.18"
251,Col (repollo),Col (repollo) s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,199.8,199.8,0,"3,621.58",18.13,"5,412.40","19,601.45"
252,Col (repollo),Col (repollo) morada,Tonelada,Cielo abierto,Convencional,Nacional,68,68,0,"2,388.40",35.12,"6,166.51","14,728.09"
253,Col (repollo),Col (repollo) morada,Tonelada,Cielo abierto,Orgánico,Nacional,11,11,0,228.8,20.8,"6,850.00","1,567.28"
254,Col (repollo),Col (repollo) blanca,Tonelada,Invernadero,Convencional,Nacional,15,15,0,666,44.4,"4,450.00","2,963.70"
255,Col de bruselas,Col de bruselas,Tonelada,Cielo abierto,Convencional,Exportación,944.2,944.2,0,"18,635.44",19.74,"13,836.88","257,856.30"
256,Col de bruselas,Col de bruselas s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,824.91","1,824.91",0,"32,300.42",17.7,"12,663.73","409,043.66"
257,Coliflor,Coliflor,Tonelada,Cielo abierto,Convencional,Exportación,131,131,0,"2,370.00",18.09,"13,172.15","31,218.00"
258,Coliflor,Coliflor s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,957.27","3,955.27",2,"93,571.15",23.66,"6,074.19","568,369.25"
259,Colza,Colza s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,8,8,0,125.98,15.75,"5,345.24",673.39
260,Comino,Comino s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,3,3,0,3.9,1.3,"40,500.00",157.95
261,Copra,Copra s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"127,587.45","124,901.70",0,"242,561.33",1.94,"8,667.55","2,102,411.45"
262,Copra,Copra,Tonelada,Cielo abierto,Orgánico,Nacional,590.2,570.2,0,"1,260.28",2.21,"13,620.68","17,165.87"
263,Coquia,Coquia s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,15,15,0,756.6,50.44,"2,690.00","2,035.25"
264,Crisantemo,Crisantemo s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,"2,672.71","2,672.71",0,"10,820,867.47","4,048.65",223.04,"2,413,516.28"
265,Crisantemo,Crisantemo,Gruesa,Invernadero,Convencional,Nacional,114.27,114.27,0,"537,824.40","4,706.61",228.67,"122,986.34"
266,Crisantemo,Crisantemo,Planta,Invernadero,Convencional,Nacional,6,6,0,"1,304,056.00","217,342.67",16.44,"21,437.25"
267,Cyclamen,Cyclamen,Planta,Invernadero,Convencional,Nacional,14.8,14.8,0,"2,334,017.70","157,703.90",29.32,"68,437.85"
268,Dalia,Dalia s/clasificar,Planta,Cielo abierto,Convencional,Nacional,3.45,3.45,0,"230,638.64","66,851.78",15.35,"3,540.15"
269,Dátil,Dátil,Tonelada,Cielo abierto,Convencional,Exportación,"1,355.76",957.63,0,"8,245.56",8.61,"69,916.56","576,501.20"
270,Dátil,Dátil s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,822.40","1,489.90",0,"9,352.65",6.28,"62,435.99","583,941.99"
271,Dólar,Dólar s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,59.5,59.5,0,"295,255.82","4,962.28",19.74,"5,829.81"
272,Durazno,Durazno escarcha,Tonelada,Cielo abierto,Convencional,Nacional,810,805,0,"4,705.32",5.85,"15,600.68","73,406.21"
273,Durazno,Durazno diamante,Tonelada,Cielo abierto,Convencional,Nacional,"10,953.89","10,644.60",0,"90,199.05",8.47,"10,125.27","913,289.38"
274,Durazno,Durazno s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,9,9,0,22.1,2.46,"11,375.11",251.39
275,Durazno,Durazno arkansas,Tonelada,Cielo abierto,Convencional,Nacional,10,9.5,0,62.24,6.55,"11,046.71",687.55
276,Durazno,Durazno criollo,Tonelada,Cielo abierto,Convencional,Nacional,"18,184.44","17,635.67",0,"123,926.83",7.03,"10,753.70","1,332,672.28"
277,Durazno,Durazno oro,Tonelada,Cielo abierto,Convencional,Nacional,"4,244.35","3,772.15",0,"46,311.90",12.28,"16,210.96","750,760.51"
278,Ebo (janamargo o veza),Ebo (janamargo o veza) forrajero,Tonelada,Cielo abierto,Convencional,Nacional,"5,044.14","5,044.14",0,"59,207.97",11.74,824.15,"48,796.54"
279,Ebo (janamargo o veza),Ebo (janamargo o veza) s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,23,23,0,87.4,3.8,696.11,60.84
280,Ebo (janamargo o veza) grano,Ebo (janamargo o veza) grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,176.5,176.5,0,653.79,3.7,744.71,486.89
281,Ejote,Ejote,Tonelada,Cielo abierto,Convencional,Exportación,"1,301.80","1,301.80",0,"16,699.65",12.83,"9,797.15","163,608.99"
282,Ejote,Ejote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"8,065.72","8,065.72",0,"83,398.69",10.34,"10,861.22","905,811.87"
283,Ejote,Ejote,Tonelada,Cielo abierto,Orgánico,Nacional,6.75,6.75,0,27.38,4.06,"18,658.87",510.88
284,Ejote,Ejote,Tonelada,Malla sombra,Convencional,Exportación,112,112,0,"1,187.20",10.6,"11,439.91","13,581.46"
285,Elote,Elote,Tonelada,Cielo abierto,Convencional,Exportación,56,56,0,673.12,12.02,"3,000.00","2,019.36"
286,Elote,Elote amarillo,Tonelada,Cielo abierto,Convencional,Exportación,"3,061.02","2,986.02",75,"27,295.03",9.14,"8,583.24","234,279.91"
287,Elote,Elote baby,Tonelada,Cielo abierto,Convencional,Nacional,274,274,0,"2,466.00",9,"5,500.00","13,563.00"
288,Elote,Elote amarillo,Tonelada,Cielo abierto,Convencional,Nacional,213,213,0,"2,934.32",13.78,"4,496.92","13,195.42"
289,Elote,Elote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"66,965.76","66,884.76",81,"1,036,328.51",15.49,"3,287.92","3,407,364.53"
290,Eneldo,Eneldo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,6,6,0,48,8,"7,500.00",360
291,Eneldo,Eneldo,Tonelada,Cielo abierto,Orgánico,Nacional,0.3,0.3,0,0.47,1.57,"18,808.23",8.84
292,Epazote,Epazote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,159.66,159.66,0,"2,048.93",12.83,"4,097.49","8,395.47"
293,Espárrago,Espárrago,Tonelada,Cielo abierto,Convencional,Exportación,"20,371.50","20,331.50",0,"200,218.51",9.85,"43,364.34","8,682,343.11"
294,Espárrago,Espárrago s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"16,187.50","15,016.50",40,"126,875.34",8.45,"46,160.88","5,856,677.59"
295,Espárrago,Espárrago,Tonelada,Cielo abierto,Orgánico,Nacional,444,314,0,"2,961.80",9.43,"50,908.86","150,781.85"
296,Especias y medicinales,Especias y medicinales s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,5,5,0,27.5,5.5,"4,660.73",128.17
297,Especias y medicinales,Especias y medicinales,Tonelada,Invernadero,Convencional,Nacional,15,15,0,87,5.8,"7,404.71",644.21
298,Especias y medicinales,Especias y medicinales,Tonelada,Invernadero,Orgánico,Nacional,70,70,0,462,6.6,"5,600.00","2,587.20"
299,Espinaca,Espinaca,Tonelada,Cielo abierto,Convencional,Exportación,394,394,0,"5,119.20",12.99,"7,035.56","36,016.44"
300,Espinaca,Espinaca s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,359.85","1,357.85",2,"19,576.18",14.42,"4,699.67","92,001.54"
301,Espinaca,Espinaca organica exportacion,Tonelada,Cielo abierto,Orgánico,Exportación,132,132,0,"1,650.00",12.5,"8,000.00","13,200.00"
302,Espinaca,Espinaca,Tonelada,Cielo abierto,Orgánico,Nacional,776,776,0,"10,025.00",12.92,"7,268.70","72,868.75"
303,Estropajo,Estropajo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,309.95,309.95,0,270.98,0.87,"30,045.36","8,141.69"
304,Eucalipto,Eucalipto s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,35.5,35.5,0,142,4,"50,000.00","7,100.00"
305,Flor cera,Flor cera,Gruesa,Cielo abierto,Convencional,Nacional,35,35,0,"13,825.00",395,800,"11,060.00"
306,Flor cera,Flor cera s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,66.5,66.5,0,565.25,8.5,"17,500.00","9,891.88"
307,Flor perrito,Flor perrito s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,91.5,91.5,0,652.6,7.13,"2,703.50","1,764.31"
308,Flores,Flores s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,5.5,5.5,0,49.5,9,"24,000.00","1,188.00"
309,Frambuesa,Frambuesa,Tonelada,Cielo abierto,Convencional,Exportación,"1,634.30","1,634.30",0,"32,549.58",19.92,"101,262.61","3,296,055.51"
310,Frambuesa,Frambuesa s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,137.2,130.3,0,"1,924.82",14.77,"31,986.71","61,568.67"
311,Frambuesa,Frambuesa,Tonelada,Cielo abierto,Orgánico,Exportación,199,199,0,"3,383.00",17,"120,000.00","405,960.00"
312,Frambuesa,Frambuesa,Tonelada,Invernadero,Convencional,Nacional,154.55,154,0,"2,878.93",18.69,"38,341.39","110,382.19"
313,Frambuesa,Frambuesa,Tonelada,Invernadero,Orgánico,Nacional,1,1,0,17.38,17.38,"37,900.00",658.7
314,Frambuesa,Frambuesa,Tonelada,Macro túnel,Convencional,Exportación,"2,334.00","2,330.00",0,"51,889.10",22.27,"107,952.96","5,601,582.19"
315,Frambuesa,Frambuesa,Tonelada,Macro túnel,Convencional,Nacional,"5,027.59","5,027.59",0,"77,868.46",15.49,"39,841.41","3,102,388.85"
316,Frambuesa,Frambuesa,Tonelada,Macro túnel,Orgánico,Nacional,55,55,0,605,11,"35,282.86","21,346.13"
317,Frambuesa,Frambuesa,Tonelada,Malla sombra,Convencional,Exportación,89,89,0,756.5,8.5,"119,970.59","90,757.75"
318,Frambuesa,Frambuesa,Tonelada,Malla sombra,Convencional,Nacional,252.8,252.8,0,"3,665.62",14.5,"35,711.34","130,904.20"
319,Fresa,Fresa,Planta,Cielo abierto,Convencional,Nacional,75,75,0,"45,001,728.00","600,023.04",2.17,"97,438.92"
320,Fresa,Fresa,Tonelada,Cielo abierto,Convencional,Exportación,"2,707.00","2,707.00",0,"121,815.00",45,"39,673.61","4,832,840.80"
321,Fresa,Fresa s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"4,961.45","4,950.45",0,"140,125.00",28.31,"20,219.40","2,833,243.71"
322,Fresa,Fresa,Tonelada,Cielo abierto,Orgánico,Exportación,67.4,67.4,0,"3,370.00",50,"58,000.00","195,460.00"
323,Fresa,Fresa,Tonelada,Cielo abierto,Orgánico,Nacional,95,95,0,"4,078.35",42.93,"24,955.15","101,775.84"
324,Fresa,Fresa,Tonelada,Invernadero,Convencional,Exportación,20,20,0,"1,200.00",60,"43,500.00","52,200.00"
325,Fresa,Fresa,Tonelada,Invernadero,Convencional,Nacional,346.75,344.65,0,"21,702.25",62.97,"19,874.16","431,313.93"
326,Fresa,Fresa,Tonelada,Macro túnel,Convencional,Exportación,"1,112.00","1,112.00",0,"58,633.90",52.73,"23,037.81","1,350,796.83"
327,Fresa,Fresa,Tonelada,Macro túnel,Convencional,Nacional,"6,268.36","6,203.36",0,"330,917.33",53.34,"21,163.85","7,003,485.20"
328,Fresa,Fresa,Tonelada,Macro túnel,Orgánico,Exportación,11,11,0,591,53.73,"23,451.43","13,859.79"
329,Fresa,Fresa,Tonelada,Malla sombra,Convencional,Exportación,40,40,0,"2,000.00",50,"40,651.25","81,302.50"
330,Fresa,Fresa,Tonelada,Malla sombra,Convencional,Nacional,307.5,307.5,0,"11,679.80",37.98,"25,879.67","302,269.36"
331,Frijol,Frijol negro querétaro,Tonelada,Cielo abierto,Convencional,Nacional,"8,287.00","7,417.00",870,"4,286.47",0.58,"17,349.45","74,367.89"
332,Frijol,Frijol ayocote,Tonelada,Cielo abierto,Convencional,Nacional,722,722,0,691.13,0.96,"14,917.25","10,309.76"
333,Frijol,Frijol garbancillo,Tonelada,Cielo abierto,Convencional,Nacional,32,32,0,41.12,1.29,"19,786.46",813.62
334,Frijol,Frijol negro veracruz,Tonelada,Cielo abierto,Convencional,Nacional,446,446,0,267.6,0.6,"16,422.73","4,394.72"
335,Frijol,Frijol bayo,Tonelada,Cielo abierto,Convencional,Nacional,"28,917.63","26,903.83","2,013.80","14,320.77",0.53,"19,610.83","280,842.26"
336,Frijol,Frijol pinto nacional,Tonelada,Cielo abierto,Convencional,Nacional,"18,523.04","13,516.19","5,006.85","12,890.90",0.95,"20,118.46","259,345.08"
337,Frijol,Frijol negro jamapa,Tonelada,Cielo abierto,Convencional,Nacional,"101,883.16","101,102.16",781,"82,845.05",0.82,"17,015.33","1,409,636.23"
338,Frijol,Frijol ojo de cabra,Tonelada,Cielo abierto,Convencional,Nacional,660,660,0,318,0.48,"25,000.00","7,950.00"
339,Frijol,Frijol cacahuate,Tonelada,Cielo abierto,Convencional,Nacional,150.83,150.83,0,167.81,1.11,"16,623.55","2,789.60"
340,Frijol,Frijol marcela,Tonelada,Cielo abierto,Convencional,Nacional,"28,753.97","26,640.37","2,113.60","21,430.51",0.8,"18,722.77","401,238.42"
341,Frijol,Frijol otros de color,Tonelada,Cielo abierto,Convencional,Nacional,"26,564.93","26,564.93",0,"18,190.78",0.68,"15,261.94","277,626.61"
342,Frijol,Frijol flor de junio,Tonelada,Cielo abierto,Convencional,Nacional,"47,637.41","44,752.81","2,884.60","35,603.55",0.8,"17,717.58","630,808.63"
343,Frijol,Frijol alubia,Tonelada,Cielo abierto,Convencional,Nacional,121.35,121.35,0,89.5,0.74,"14,695.23","1,315.22"
344,Frijol,Frijol flor de mayo,Tonelada,Cielo abierto,Convencional,Nacional,"58,918.00","56,157.00","2,761.00","44,337.91",0.79,"16,872.22","748,079.16"
345,Frijol,Frijol negro san luis,Tonelada,Cielo abierto,Convencional,Nacional,"286,161.84","272,256.44","13,905.40","159,707.15",0.59,"19,081.67","3,047,478.70"
346,Frijol,Frijol azufrado,Tonelada,Cielo abierto,Convencional,Nacional,"99,437.61","94,336.61","5,101.00","173,542.05",1.84,"23,266.34","4,037,688.87"
347,Frijol,Frijol peruano,Tonelada,Cielo abierto,Convencional,Nacional,"6,871.61","6,817.61",54,"9,931.64",1.46,"18,319.90","181,946.65"
348,Frijol,Frijol mayocoba,Tonelada,Cielo abierto,Convencional,Nacional,"12,236.52","12,022.52",214,"21,330.08",1.77,"21,309.81","454,540.04"
349,Frijol,Frijol negro zacatecas,Tonelada,Cielo abierto,Convencional,Nacional,"85,055.51","83,721.06","1,334.45","26,636.88",0.32,"18,438.89","491,154.62"
