Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
39,Alpiste grano,Alpiste s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,0.45,0.45,0,0.37,0.82,"11,655.00",4.31
40,Alstroemeria,Alstroemeria s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,75,75,0,"512,749.20","6,836.66",129.89,"66,599.06"
41,Amaranto,Amaranto s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,769.51","3,769.51",0,"7,264.19",1.93,"10,111.98","73,455.32"
42,Anís,Anís s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,312,312,0,497.55,1.59,"40,905.47","20,352.52"
43,Anturios,Anturios,Gruesa,Invernadero,Convencional,Nacional,1,1,0,"1,562.32","1,562.32","2,013.40","3,145.58"
44,Apio,Apio,Tonelada,Cielo abierto,Convencional,Exportación,170,170,0,"11,200.00",65.88,"6,677.05","74,782.97"
45,Apio,Apio s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,865.5,863,2.5,"31,388.64",36.37,"7,364.53","231,162.45"
46,Apio,Apio,Tonelada,Cielo abierto,Orgánico,Nacional,20,20,0,204,10.2,"5,600.00","1,142.40"
47,Arándano,Arándano azul (blueberry),Tonelada,Cielo abierto,Convencional,Exportación,"1,928.60","1,928.60",0,"26,006.65",13.48,"22,000.00","572,146.30"
48,Arándano,Arándano moras,Tonelada,Cielo abierto,Convencional,Nacional,10,9,0,21.6,2.4,"26,371.11",569.62
49,Arándano,Arándano azul (blueberry),Tonelada,Cielo abierto,Convencional,Nacional,775.05,679.8,0,"8,929.57",13.14,"182,458.16","1,629,272.92"
50,Arándano,Arándano azul (blueberry),Tonelada,Cielo abierto,Orgánico,Nacional,29,29,0,567.12,19.56,"194,645.28","110,387.23"
51,Arándano,Arándano azul (blueberry),Tonelada,Invernadero,Orgánico,Nacional,1,1,0,8.91,8.91,"152,000.00","1,354.32"
52,Arándano,Arándano azul (blueberry),Tonelada,Macro túnel,Convencional,Exportación,327.5,327.5,0,"7,115.26",21.73,"87,258.64","620,867.90"
53,Arándano,Arándano azul (blueberry),Tonelada,Macro túnel,Convencional,Nacional,"2,268.00","2,266.00",0,"31,255.52",13.79,"50,015.65","1,563,265.22"
54,Arándano,Arándano azul (blueberry),Tonelada,Macro túnel,Orgánico,Nacional,130,130,0,864.5,6.65,"52,126.54","45,063.39"
55,Arándano,Arándano azul (blueberry),Tonelada,Malla sombra,Convencional,Nacional,471.8,471.8,0,"5,764.80",12.22,"72,060.42","415,413.91"
56,Árbol de navidad,Árbol de navidad s/clasificar,Planta,Cielo abierto,Convencional,Nacional,"1,309.22","1,115.45",0,"821,466.86",736.44,611.58,"502,393.25"
57,Aretillo,Aretillo,Planta,Invernadero,Convencional,Nacional,4.3,4.3,0,"632,899.48","147,185.93",19.16,"12,128.94"
58,Arrayán,Arrayán s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,67,67,0,147.36,2.2,"14,394.14","2,121.12"
59,Arroz palay,Arroz palay tipo morelos,Tonelada,Cielo abierto,Convencional,Nacional,"2,216.06","2,216.06",0,"17,549.88",7.92,"6,886.90","120,864.25"
60,Arroz palay,Arroz palay grueso milagro filipino,Tonelada,Cielo abierto,Convencional,Nacional,"26,983.40","26,983.40",0,"186,667.73",6.92,"5,878.23","1,097,275.45"
61,Arroz palay,Arroz palay aztecas,Tonelada,Cielo abierto,Convencional,Nacional,"2,146.90","2,146.90",0,"15,370.26",7.16,"5,445.08","83,692.33"
62,Arvejón,Arvejón s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,253.66","1,253.66",0,"1,813.12",1.45,"8,415.39","15,258.12"
63,Aster,Aster s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,25.5,25.5,0,"1,083,041.29","42,472.21",111.95,"121,250.92"
64,Aster,Aster,Manojo,Invernadero,Convencional,Nacional,99,99,0,"4,689,862.65","47,372.35",120.48,"565,034.65"
65,Ave del paraíso,Ave del paraíso s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,180.5,180.5,0,"89,470.84",495.68,374.62,"33,517.90"
